source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
379,414,2.000000,0.061130,0.122261,True,0.100268,-0.021993,10.000000,7.000000,18326413.587722,30059516.746136,5.401508
1077,1416,1.250000,0.111409,0.139261,True,0.136255,-0.003006,25.000000,7.000000,33399509.163695,40848200.979104,4.882909
1077,1416,1.500000,0.111409,0.167113,True,0.145225,-0.021888,25.000000,9.000000,33399509.163695,43537335.887107,4.964779
1077,1416,2.000000,0.111409,0.222818,True,0.145225,-0.077593,25.000000,9.000000,33399509.163695,43537335.887107,4.868401
181,840,1.250000,0.115704,0.144630,True,0.143398,-0.001232,17.000000,21.000000,34687148.008243,42989605.782813,6.528161
181,840,1.500000,0.115704,0.173556,True,0.156603,-0.016953,29.000000,11.000000,34687148.008243,46948368.183692,6.353054
181,840,2.000000,0.115704,0.231408,True,0.156603,-0.074805,29.000000,11.000000,34687148.008243,46948368.183692,6.588902
564,823,1.250000,0.071889,0.089861,True,0.089010,-0.000851,20.000000,0.000000,21551662.359235,26684568.525528,7.607109
564,823,1.500000,0.071889,0.107833,True,0.105597,-0.002236,25.000000,1.000000,21551662.359235,31657161.604531,7.497493
564,823,2.000000,0.071889,0.143777,True,0.114608,-0.029169,27.000000,1.000000,21551662.359235,34358625.925800,7.593728
1137,167,1.250000,0.108514,0.135643,True,0.135197,-0.000446,36.000000,1.000000,32531825.327241,40530958.392551,5.979302
1137,167,1.500000,0.108514,0.162772,True,0.159188,-0.003584,34.000000,5.000000,32531825.327241,47723320.486189,5.890916
1137,167,2.000000,0.108514,0.217029,True,0.159188,-0.057841,34.000000,5.000000,32531825.327241,47723320.486189,6.129668
1257,56,1.250000,0.113329,0.141661,True,0.143378,0.001718,32.000000,1.000000,33975039.280397,42983773.513232,6.601609
1257,56,1.500000,0.113329,0.169993,True,0.165502,-0.004490,37.000000,2.000000,33975039.280397,49616356.988464,6.669257
1257,56,2.000000,0.113329,0.226657,True,0.165502,-0.061155,37.000000,2.000000,33975039.280397,49616356.988464,6.560476
1064,1104,1.250000,0.033338,0.041672,True,0.043400,0.001728,9.000000,0.000000,9994333.003942,13010919.296668,7.660767
1064,1104,1.500000,0.033338,0.050006,True,0.051496,0.001490,9.000000,0.000000,9994333.003942,15438048.739230,7.543342
1064,1104,2.000000,0.033338,0.066675,True,0.060924,-0.005751,11.000000,0.000000,9994333.003942,18264421.436816,7.537033
691,964,1.250000,0.098198,0.122748,True,0.123137,0.000389,23.000000,3.000000,29439043.393381,36915571.158427,7.501814
691,964,1.500000,0.098198,0.147297,True,0.145634,-0.001663,29.000000,3.000000,29439043.393381,43660106.319589,7.614325
691,964,2.000000,0.098198,0.196396,True,0.149549,-0.046847,29.000000,3.000000,29439043.393381,44833781.557842,7.586089
1043,395,1.250000,0.163751,0.204689,True,0.190431,-0.014257,18.000000,29.000000,49091356.479932,57089906.653060,7.572265
1043,395,1.500000,0.163751,0.245627,True,0.190431,-0.055195,18.000000,29.000000,49091356.479932,57089906.653060,7.741989
1043,395,2.000000,0.163751,0.327502,True,0.190431,-0.137071,18.000000,29.000000,49091356.479932,57089906.653060,7.833600
503,891,1.250000,0.111268,0.139085,True,0.137674,-0.001411,32.000000,1.000000,33357251.032563,41273663.302642,5.873685
503,891,1.500000,0.111268,0.166902,True,0.158916,-0.007986,33.000000,4.000000,33357251.032563,47641837.521320,6.148231
503,891,2.000000,0.111268,0.222536,True,0.158916,-0.063620,33.000000,4.000000,33357251.032563,47641837.521320,6.079962
473,654,1.250000,0.058906,0.073632,True,0.071628,-0.002004,13.000000,1.000000,17659514.812126,21473629.414770,6.943352
473,654,1.500000,0.058906,0.088359,True,0.092492,0.004133,15.000000,3.000000,17659514.812126,27728400.275289,6.906410
473,654,2.000000,0.058906,0.117812,True,0.092892,-0.024919,15.000000,3.000000,17659514.812126,27848391.563827,7.089163
200,770,1.250000,0.098136,0.122670,True,0.123032,0.000363,16.000000,17.000000,29420316.419675,36884092.193570,4.647553
200,770,1.500000,0.098136,0.147203,True,0.145255,-0.001948,18.000000,19.000000,29420316.419675,43546440.673141,4.772394
